date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011240,0,0,2,-55.37,84.18,1,8469.98,0
2011241,1,9.238,3,-55.451,84.147,1,8478.14,0
2011242,1,9.044,3,-55.531,84.123,1,8486.31,0
2011243,1,8.876,3,-55.611,84.107,1,8494.48,0
2011244,1,8.751,3,-55.689,84.097,1,8502.64,0
2011245,1,8.635,3,-55.767,84.092,1,8510.81,0
2011246,1,8.553,3,-55.844,84.09,1,8518.98,0
2011247,1,8.441,2,-55.92,84.09,1,8527.14,0
2011248,1,9.536,3,-56.004,84.123,1,8535.31,0
2011249,1,11.879,3,-56.098,84.213,1,8543.48,0
2011250,1,13.385,3,-56.195,84.343,1,8554.2,0
2011251,1,13.78,3,-56.285,84.496,1,8565.67,0
2011252,1,12.969,3,-56.36,84.658,1,8578.61,0
2011253,1,11.008,3,-56.411,84.811,1,8592.23,0
2011254,1,8.194,2,-56.43,84.94,1,8607.38,0
2011255,1,7.179,3,-56.415,85.054,1,8653.67,0
2011256,1,8.528,3,-56.373,85.17,1,8700.83,0
2011257,1,10.002,3,-56.309,85.284,1,8765.26,0
2011258,1,11.207,3,-56.228,85.394,1,8912.72,0
2011259,1,11.974,3,-56.137,85.495,1,9048.75,0
2011260,1,12.207,3,-56.039,85.585,1,9190.63,0
2011261,1,11.904,2,-55.94,85.66,1,9349.35,0
2011262,1,13.855,3,-55.821,85.727,1,9537.57,0
2011263,1,17.572,3,-55.668,85.795,1,9742.36,0
2011264,1,19.921,3,-55.492,85.859,0,9992.69,0
2011265,1,20.873,3,-55.307,85.915,1,10246.97,0
2011266,1,20.424,3,-55.125,85.96,1,10497.81,0
2011267,1,18.578,3,-54.958,85.989,1,10805.49,0
2011268,1,15.354,2,-54.82,86,1,11113.16,0
2011269,1,13.093,3,-54.703,85.98,1,11420.84,0
2011270,1,12.973,3,-54.591,85.921,1,11728.52,0
2011271,1,13.114,3,-54.486,85.829,1,12036.2,0
2011272,1,13.423,3,-54.388,85.707,1,12343.88,0
2011273,1,13.797,3,-54.299,85.558,1,12651.56,0
2011274,1,14.146,3,-54.219,85.388,1,12959.24,0
2011275,1,14.442,2,-54.15,85.2,1,13266.92,0
